CommitMessage,AffectedFunctionality,Outcome
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
Fix Login Issue,Login,1
"UserName, Password, login",Login,1
Fix Payment issue,Payment,0
"Register, signup",Register,0
successfully registered,Register,0
